brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
35855,for_sale,4300000,4,5,0.34,967413,"Fort Lauderdale",Florida,33308,4123,43707
16829,for_sale,699000,2,2,NULL,1123151,"Lauderdale By The Sea",Florida,33308,2006,38422
30593,for_sale,450000,1,2,NULL,1042887,"Fort Lauderdale",Florida,33308,1140,39161
16829,for_sale,2599900,3,3,0.21,963922,"Fort Lauderdale",Florida,33308,2432,34123
16829,for_sale,937500,3,3,NULL,1172122,"Fort Lauderdale",Florida,33308,2480,39185
8821,for_sale,798788,6,4,NULL,678837,"Fort Lauderdale",Florida,33308,2708,32896
31171,for_sale,450000,2,2,NULL,1149485,"Fort Lauderdale",Florida,33308,1190,38980
16829,for_sale,549000,2,2,NULL,850125,"Fort Lauderdale",Florida,33308,1200,41788
58464,for_sale,749000,2,2,NULL,879827,"Fort Lauderdale",Florida,33308,1274,44288
53364,for_sale,439900,1,2,NULL,1100075,"Fort Lauderdale",Florida,33308,980,37601
15721,for_sale,1250000,4,4,NULL,,"Lauderdale By The Sea",Florida,33308,1918,38176
70271,for_sale,850000,2,2,NULL,1214532,"Fort Lauderdale",Florida,33308,1450,43371
78568,for_sale,1595000,5,5,NULL,1126022,"Fort Lauderdale",Florida,33308,3481,44522
31855,for_sale,760000,2,3,NULL,1338078,"Fort Lauderdale",Florida,33308,1243,38825
29015,for_sale,1450000,3,4,NULL,937331,"Fort Lauderdale",Florida,33308,2663,44014
58713,for_sale,555000,1,2,NULL,1356135,"Lauderdale By The Sea",Florida,33308,1000,44280
72193,for_sale,1450000,2,3,NULL,1204366,"Fort Lauderdale",Florida,33308,2318,37714
35637,for_sale,789000,3,2,NULL,1149486,"Fort Lauderdale",Florida,33308,1580,
22611,for_sale,855000,2,2,NULL,1214535,"Fort Lauderdale",Florida,33308,1450,43283
11228,for_sale,2750000,4,4,0.41,1219481,"Fort Lauderdale",Florida,33308,4540,
81619,for_sale,2759000,4,4,NULL,740029,"Lauderdale By The Sea",Florida,33308,3200,
